repo_name,cursor_commits,cursor_adoptor_percentage,cursor_adoption_time
cl-victor1/nuxt-template-stripe-supabase-google-i18n-kofi,1,82.35294117647058,2024-09-29T23:18:24
tegnike/aituber-kit,39,82.24734042553192,2025-01-23T08:57:37
PatrickJS/awesome-cursorrules,55,82.10526315789474,2024-09-16T11:47:45
open-fractal/flur,2,82.0754716981132,2024-10-05T20:52:40
calcitem/Sanmill,1,81.93986820428336,2025-03-14T20:17:05
array2d/deepx,13,81.9078947368421,2025-02-12T06:01:21
q1226189767/FlyAdmin,1,81.81818181818183,2025-02-19T04:28:59
tphakala/birdnet-go,4,81.55339805825243,2025-03-28T12:20:16
eyaltoledano/claude-task-master,132,81.54235145385587,2025-03-04T13:55:17
IamLiuLv/compoder,12,81.33333333333333,2025-03-08T22:51:36
L-Blondy/up-fetch,5,81.26919140225179,2025-01-28T12:02:06
ygsgdbd/DanceKunKun,1,81.25,2024-12-10T10:15:14
Vrooli/Vrooli,17,81.20554099588169,2024-08-24T13:10:36
